# Constructed from biom file
#OTU ID	A1JSBP1	A1SWBP1	A2SSBP2	A3JMBP4	T14MYBP2	T14OMBP2	T15SBBP4	T15WSBP4	T18JJBP5	T16RMBP5	taxonomy
4453970	0.0	1.0	0.0	0.0	665.0	102.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales; s__uncultured_prokaryote
4400098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1178.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__Flavobacterium_terrigena
4446172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	649.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Croceicoccus
737260	0.0	0.0	0.0	0.0	0.0	0.0	10.0	3146.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Pseudarcicella
2476146	321.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Mucilaginibacter
4462470	0.0	135.0	0.0	1.0	573.0	477.0	0.0	0.0	9.0	0.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Staurastrum_punctulatum
761545	0.0	20.0	513.0	0.0	0.0	29.0	0.0	0.0	3.0	2.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia
249179	0.0	0.0	5.0	0.0	1228.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae
913149	0.0	0.0	0.0	0.0	1849.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium
4480022	0.0	1.0	1.0	0.0	0.0	0.0	0.0	291.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Croceicoccus
1107242	0.0	3.0	0.0	16.0	0.0	40.0	29.0	0.0	974.0	2091.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Rhodanobacteraceae; s__uncultured_bacterium
4021888	908.0	1.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__KF-JG30-B3; g__KF-JG30-B3
825612	0.0	262.0	0.0	24.0	587.0	1049.0	67.0	0.0	79.0	268.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Roseiarcus
407742	0.0	150.0	1.0	9.0	0.0	993.0	119.0	0.0	7.0	4.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Rhodovastum; s__Acetobacteraceae_bacterium
832399	0.0	24.0	0.0	382.0	0.0	5.0	558.0	0.0	3.0	0.0	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales
241491	0.0	36.0	16.0	330.0	0.0	26.0	382.0	0.0	2.0	5.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Azospirillales; f__Azospirillaceae; g__Nitrospirillum; s__uncultured_bacterium
849821	0.0	12.0	81.0	0.0	183.0	414.0	0.0	0.0	1.0	2.0	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__uncultured_Longilinea
231787	0.0	0.0	0.0	0.0	148.0	2.0	119.0	52.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales
592512	0.0	4.0	0.0	0.0	732.0	1.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__UBA12409; g__UBA12409; s__uncultured_soil
700476	744.0	29.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__TM7a; s__uncultured_compost
835504	766.0	73.0	10.0	132.0	0.0	30.0	204.0	0.0	1.0	0.0	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__TM7a; s__uncultured_compost
279611	45.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Doudnabacteria; f__Candidatus_Doudnabacteria; g__Candidatus_Doudnabacteria; s__uncultured_bacterium
585984	215.0	0.0	6.0	3.0	0.0	20.0	4.0	0.0	0.0	0.0	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__TM7a
580312	587.0	4.0	52.0	0.0	0.0	0.0	14.0	0.0	5.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
109708	0.0	277.0	28.0	1.0	314.0	424.0	9.0	0.0	3.0	0.0	d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Sulfurimonadaceae; g__Sulfuricurvum; s__Candidatus_Sulfuricurvum
1109647	0.0	94.0	37.0	0.0	514.0	209.0	11.0	0.0	491.0	734.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast
821362	0.0	0.0	313.0	0.0	642.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__OLB12
1062748	0.0	34.0	674.0	1.0	0.0	57.0	0.0	0.0	7.0	31.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium
1105975	0.0	32.0	0.0	0.0	1227.0	18.0	16.0	0.0	0.0	0.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Pseudanabaena_PCC-7429
142247	0.0	0.0	43.0	0.0	986.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__OLB12; s__uncultured_prokaryote
513073	0.0	14.0	13.0	0.0	854.0	3.0	0.0	0.0	11.0	7.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae
665877	0.0	62.0	0.0	0.0	0.0	1164.0	0.0	0.0	12.0	1.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__Longivirga; s__bacterium
240252	0.0	31.0	21.0	140.0	0.0	101.0	150.0	0.0	324.0	602.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acidocella
4304056	0.0	4.0	0.0	0.0	0.0	5.0	939.0	0.0	0.0	1.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; s__[Pseudomonas]_geniculata
1109477	0.0	0.0	27.0	12.0	0.0	0.0	53.0	0.0	442.0	1046.0	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1)
331752	0.0	0.0	0.0	0.0	0.0	2.0	0.0	678.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia
544990	0.0	0.0	0.0	7.0	0.0	37.0	12.0	0.0	343.0	576.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Roseiarcus
638460	0.0	37.0	20.0	3.0	121.0	317.0	9.0	0.0	282.0	511.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Gallionellaceae; g__Sideroxydans
